id,date,client_id,card_id,amount,use_chip,merchant_id,merchant_city,merchant_state,zip,mcc
8224584,40365.80903,882,3467,8.65,Swipe Transaction,32355,Mount Vernon,OH,43050,5411
7653128,40224.37083,728,3421,1.35,Swipe Transaction,75781,Independence,MO,64052,5411
7702850,40236.70139,1334,1157,27.53,Swipe Transaction,82565,Tonawanda,NY,14150,5411
8354885,40397.54444,1452,3801,16.44,Swipe Transaction,49789,Miami,FL,33122,5541
7853189,40274.46667,947,5534,11.91,Swipe Transaction,53972,Brooklyn,NY,11232,5411
7549327,40197.95069,350,2865,31.89,Online Transaction,16798,ONLINE,ONLINE,,4121
8650539,40468.61875,1717,2652,45.8,Online Transaction,39021,ONLINE,ONLINE,,4784
8293904,40382.69167,1967,4494,16.41,Swipe Transaction,20561,Lake Forest,CA,92630,5912
8609657,40458.65139,1946,3679,83.73,Swipe Transaction,20561,Cleveland,OH,44134,5912
8194097,40358.50347,1473,3839,64,Swipe Transaction,61195,Nixa,MO,65714,5541
8307652,40386.27917,1840,3322,7.02,Swipe Transaction,45050,Culver City,CA,90230,5812
8675273,40474.62083,668,4318,2.25,Swipe Transaction,86438,Birmingham,AL,35211,5499
8343721,40394.67639,1521,2495,50.05,Swipe Transaction,27557,Weatherford,TX,76086,5411
8195691,40358.775,273,5777,33.29,Swipe Transaction,67426,Hubbard,OH,44425,5211
8416477,40412.39722,148,2144,99,Swipe Transaction,43293,Bristol,NH,3222,5499
8629843,40463.58819,98,4237,53.28,Swipe Transaction,89069,Danville,IL,61832,5251
7999852,40310.72986,68,4648,40,Swipe Transaction,27092,Cedarburg,WI,53012,4829
7640753,40221.02986,1905,5807,22.25,Swipe Transaction,64443,Bradenton,FL,34207,5300
7767858,40253.25278,1807,165,62.26,Swipe Transaction,92191,Bronx,NY,10463,7538
7652585,40224.28542,366,2934,24.22,Online Transaction,16798,ONLINE,ONLINE,,4121
8076926,40329.80347,1261,4121,71.61,Swipe Transaction,69972,Portland,OR,97212,5814
7697688,40235.4625,1195,26,16.13,Swipe Transaction,3207,Rochester,MN,55903,5411
8712598,40483.57222,1703,2969,3.03,Swipe Transaction,86438,Fruita,CO,81521,5499
7828390,40268.33472,996,3310,2.87,Swipe Transaction,79675,Hollywood,FL,33024,5921
8010111,40313.51389,1692,5371,87,Swipe Transaction,43293,Irvington,NY,10533,5499
8193646,40358.44306,602,5979,120,Swipe Transaction,27092,Reidsville,NC,27320,4829
7801245,40261.46944,667,5891,20.45,Swipe Transaction,50867,Falls Church,VA,22042,5541
8636694,40465.36181,914,5835,-80,Swipe Transaction,59935,Wichita,KS,67212,5499
7475815,40179.29653,1362,0,66,Swipe Transaction,59935,Bladensburg,MD,20710,5499
7648910,40223.34444,162,2240,-286,Swipe Transaction,3558,San Benito,TX,78586,3640
7867577,40277.97917,1718,5144,1.82,Swipe Transaction,86438,West Covina,CA,91792,5499
7787427,40258.25694,1428,5116,2.06,Swipe Transaction,14528,Lebanon,MO,65536,5499
8532861,40440.39653,997,2261,34.9,Online Transaction,15143,ONLINE,ONLINE,,4784
7636991,40220.28819,573,3268,82,Swipe Transaction,59935,Waynesboro,GA,30830,5499
8382470,40404.32778,1528,2491,34.42,Swipe Transaction,50783,Shreveport,LA,71107,5411
8536491,40441.30486,1809,2114,5.7,Swipe Transaction,30928,Delaplane,VA,20144,5541
7919629,40290.83194,414,2815,151.79,Swipe Transaction,35451,Budapest,Hungary,,5812
7959889,40301.26389,986,263,1.51,Swipe Transaction,14528,Garden City,NY,11530,5499
7819201,40265.91042,1684,2140,65,Swipe Transaction,43293,Briceville,TN,37710,5499
8253256,40372.84583,369,2982,75.56,Swipe Transaction,52205,Louisville,KY,40299,5812
8300041,40384.38264,84,3417,9.64,Swipe Transaction,38337,Lansing,NC,28643,5921
7656544,40225.26458,96,3695,1.89,Swipe Transaction,14528,Yorba Linda,CA,92887,5499
8270629,40377.33333,1406,3883,4.06,Swipe Transaction,20519,Wilburton,OK,74578,5942
7720805,40241.31667,1314,1140,5.5,Swipe Transaction,75781,New Braunfels,TX,78130,5411
7874208,40279.63403,208,4980,68,Swipe Transaction,22204,Federal Way,WA,98023,5541
7952680,40299.40556,375,3354,1.07,Swipe Transaction,86438,Statesville,NC,28625,5499
8714732,40484.27986,1756,2190,14.7,Swipe Transaction,83480,Durham,NC,27712,9402
7818733,40265.75625,655,2133,20,Swipe Transaction,27092,Madison,OH,44057,4829
7828641,40268.37222,860,5782,60,Swipe Transaction,27092,Silver Spring,MD,20901,4829
8688398,40477.68889,1901,2158,65,Swipe Transaction,49789,Rosebush,MI,48878,5541
7930797,40293.6875,814,4536,44.01,Swipe Transaction,43293,Palm Bay,FL,32905,5499
7769688,40253.52639,665,2798,6.61,Swipe Transaction,82981,Youngstown,OH,44511,5912
8188635,40357.33472,357,2085,10.21,Swipe Transaction,26810,Viborg,SD,57070,5541
8379437,40403.45486,401,3035,120,Swipe Transaction,27092,North Hollywood,CA,91605,4829
8391366,40406.40139,566,5577,9.71,Swipe Transaction,72515,Imlay City,MI,48444,5814
7705203,40237.42847,820,3311,27.08,Online Transaction,39021,ONLINE,ONLINE,,4784
7627620,40217.75208,1133,195,28.06,Swipe Transaction,12014,North Chili,NY,14514,5814
7934118,40294.57639,1975,3882,80,Swipe Transaction,27092,Danbury,CT,6810,4829
8053627,40324.28403,641,14,12.99,Swipe Transaction,50867,Columbus,OH,43228,5541
7689777,40233.45972,227,5867,59.13,Swipe Transaction,65362,Minneapolis,MN,55419,5912
7772067,40254.27639,316,5857,166.88,Swipe Transaction,29326,Houston,TX,77047,1711
8015743,40314.72917,96,5175,51,Swipe Transaction,61195,Yorba Linda,CA,92886,5541
7479496,40180.04444,1088,4574,181.81,Online Transaction,73186,ONLINE,ONLINE,,4814
7903942,40287.29167,1067,3382,2.16,Swipe Transaction,59935,Mexico City,Mexico,,5499
7563809,40201.73611,1198,2804,209.5,Online Transaction,61641,ONLINE,ONLINE,,4900
8625974,40462.6375,743,1026,100,Swipe Transaction,27092,Manteo,NC,27954,4829
8032338,40318.69306,839,4725,87,Swipe Transaction,43293,Fostoria,OH,44830,5499
7681276,40231.40208,1654,4276,118.5,Swipe Transaction,13523,Pawtucket,RI,2860,5310
8202948,40360.56042,615,1128,61,Swipe Transaction,26810,Alvin,TX,77511,5541
7724286,40241.96597,473,5099,10.54,Swipe Transaction,75781,Detroit,MI,48235,5411
7564384,40201.90139,1221,4561,99,Swipe Transaction,59935,Moreno Valley,CA,92553,5499
7834262,40269.59028,1542,2906,39.3,Swipe Transaction,39222,Sand Springs,OK,74063,5813
8367358,40400.49653,1,4652,8.91,Online Transaction,16798,ONLINE,ONLINE,,4121
7513047,40188.63681,1782,4289,19.84,Swipe Transaction,40948,Westminster,CA,92683,5411
8587126,40453.47153,1490,5950,39.34,Online Transaction,9932,ONLINE,ONLINE,,5311
8128395,40342.50833,434,3463,143.16,Swipe Transaction,50034,Ames,IA,50014,4900
8321928,40389.57917,1102,979,123,Swipe Transaction,54998,Tulsa,OK,74137,5912
7967469,40302.85625,207,2260,-74,Swipe Transaction,50867,Danville,VA,24541,5541
8688137,40477.65208,345,3441,79,Swipe Transaction,59935,Kalamazoo,MI,49048,5499
7865961,40277.58542,933,2254,81.3,Online Transaction,88459,ONLINE,ONLINE,,5311
7846677,40272.70208,368,2226,-88,Swipe Transaction,59935,Orlando,FL,32825,5499
8100042,40335.59583,909,2583,-54,Swipe Transaction,56431,Olympia,WA,98516,5541
8050689,40323.45278,592,5946,80,Swipe Transaction,27092,Hendersonville,NC,28792,4829
7996921,40310.29931,719,5518,91,Swipe Transaction,22204,Rockford,IL,61107,5541
7813533,40264.58819,1053,2900,111.35,Swipe Transaction,14614,Oviedo,FL,32765,5411
7885774,40282.52153,208,2426,81,Swipe Transaction,43293,Bothell,WA,98021,5499
8126800,40342.27708,1074,2044,17.02,Swipe Transaction,83271,West Fargo,ND,58078,4214
8712578,40483.56875,816,5066,73,Swipe Transaction,61195,Bristol,TN,37620,5541
8076961,40329.81042,1520,108,147.81,Swipe Transaction,49944,San Francisco,CA,94101,4111
7537521,40195.05278,114,3398,86,Swipe Transaction,59935,North Hollywood,CA,91606,5499
7537642,40195.21389,924,2210,160,Swipe Transaction,27092,Lebanon,IN,46052,4829
7672929,40229.36528,1451,3226,96.77,Swipe Transaction,38602,Revere,MA,2151,5311
7520659,40190.57708,779,3299,36.2,Swipe Transaction,60569,Rockwall,TX,75087,5300
8023587,40316.64306,1300,5754,100,Swipe Transaction,27092,Zwolle,LA,71486,4829
7636770,40220.25139,1381,3738,9.9,Swipe Transaction,61195,Mentor,OH,44060,5541
8001221,40311.30764,112,1134,1.63,Swipe Transaction,86438,Carthage,NY,13619,5499
8613757,40459.70833,1224,3874,88.25,Swipe Transaction,45926,College Park,MD,20740,5814
8080685,40330.68819,1448,126,35.62,Online Transaction,39021,ONLINE,ONLINE,,4784
8710573,40483.29583,618,3411,17.99,Swipe Transaction,24504,Rancho Palos Verdes,CA,90275,4214
7681312,40231.40694,1654,4276,73.71,Swipe Transaction,46474,Newport,RI,2840,7538
8173849,40353.51528,208,4980,-74,Swipe Transaction,22204,Federal Way,WA,98023,5541
7803481,40261.90625,1842,3743,13.04,Swipe Transaction,94974,Albuquerque,NM,87121,5812
7537075,40194.85556,1067,1063,95.93,Swipe Transaction,79927,Derby,KS,67037,5912
7573524,40204.33819,1098,4626,47.23,Swipe Transaction,59935,Granville,IA,51022,5499
8202991,40360.56667,779,2069,84.05,Swipe Transaction,78312,Pottsboro,TX,75076,5912
8573826,40450.29167,1067,3382,60,Swipe Transaction,27092,Caney,KS,67333,4829
8709147,40482.69583,1843,4553,32.01,Swipe Transaction,94123,Chicago Heights,IL,60411,5310
8489822,40429.90486,194,5587,24.75,Swipe Transaction,59935,Hartford City,IN,47348,5499
8210030,40362.49097,1296,67,18.78,Online Transaction,16798,ONLINE,ONLINE,,4121
8019092,40315.59722,1257,5071,86.04,Online Transaction,94901,ONLINE,ONLINE,,6300
7839436,40270.93542,194,4273,-76,Swipe Transaction,22204,Fountain City,IN,47341,5541
7917991,40290.52222,1422,5515,3.41,Swipe Transaction,45926,Cheyenne,WY,82009,5814
7483216,40181.2375,1384,3723,-402,Swipe Transaction,68001,Dallas,TX,75203,7011
8124683,40341.59792,1888,1169,57,Swipe Transaction,26810,Farmington,MN,55024,5541
7768520,40253.35278,855,5916,1.81,Swipe Transaction,50072,Jackson,MS,39213,5912
8217371,40364.33472,1279,4188,60,Swipe Transaction,22204,Novi,MI,48375,5541
8042656,40321.48889,1600,5050,33.68,Swipe Transaction,53052,Kirkland,WA,98033,5812
8266707,40376.35903,1596,2637,54.4,Online Transaction,15143,ONLINE,ONLINE,,4784
8668360,40472.79444,84,3417,28.91,Swipe Transaction,32175,Maiden,NC,28650,7538
7485889,40181.65903,773,2570,42.66,Online Transaction,39021,ONLINE,ONLINE,,4784
8389405,40405.76806,1495,4941,11.04,Swipe Transaction,74913,Indianapolis,IN,46256,7542
8319488,40388.86736,157,1052,65.51,Swipe Transaction,22938,Niagara Falls,NY,14303,5812
8164452,40351.36667,1107,2872,56.98,Swipe Transaction,26909,Johnson City,NY,13790,5211
7797586,40260.52639,1529,1156,23.95,Swipe Transaction,23492,Pompano Beach,FL,33076,5411
7570708,40203.52014,1896,4974,12.39,Swipe Transaction,97200,Monroe,MI,48161,5912
7867074,40277.81181,1772,5918,66.81,Swipe Transaction,94983,Rancho Cucamonga,CA,91730,5812
7592595,40209.28472,1147,2042,7.61,Swipe Transaction,50783,New Brunswick,NJ,8901,5411
8061152,40325.84306,1942,2116,8.56,Swipe Transaction,56431,New York,NY,10003,5541
7479508,40180.05972,844,3445,69.26,Swipe Transaction,81536,North Richland Hills,TX,76180,5310
8048241,40322.7,147,2634,77.92,Swipe Transaction,32514,Montgomery,AL,36117,5300
8099646,40335.54097,1288,2428,11.92,Swipe Transaction,45926,Procious,WV,25164,5814
8415336,40412.12708,1534,4250,84.36,Swipe Transaction,75936,Cherry Hill,NJ,8003,5814
8338078,40393.4875,1135,3081,10.18,Swipe Transaction,75781,San Diego,CA,92104,5411
8524749,40438.41319,702,2258,12.62,Swipe Transaction,24504,Lake Grove,NY,11755,4214
8251306,40372.47986,763,4993,137.27,Swipe Transaction,75781,Philadelphia,PA,19104,5411
8691051,40478.46042,827,2836,11.96,Swipe Transaction,32087,Utica,NY,13501,5411
7749652,40248.46667,1147,2042,33.16,Swipe Transaction,25887,New Brunswick,NJ,8901,5814
8115522,40339.38889,173,3916,34.12,Swipe Transaction,75781,Abilene,TX,79605,5411
8002528,40311.49861,303,149,71.61,Swipe Transaction,20561,Windsor,CO,80550,5912
7560120,40200.71528,1334,1157,39.18,Swipe Transaction,55060,Buffalo,NY,14201,5812
8373101,40401.70833,479,2436,61.94,Swipe Transaction,35451,Pasadena,MD,21122,5812
8649613,40468.48403,543,4708,56.84,Swipe Transaction,28395,Coos Bay,OR,97420,5541
7832471,40269.33542,472,3007,6.35,Swipe Transaction,20519,Carpentersville,IL,60110,5942
8097265,40334.89444,1543,4687,23.04,Online Transaction,15143,ONLINE,ONLINE,,4784
8030324,40318.40486,380,5838,9.69,Swipe Transaction,20519,Estherville,IA,51334,5942
7598425,40210.54306,1019,2602,104.52,Swipe Transaction,71213,Baldwin Park,CA,91706,8043
7515438,40189.39306,460,2460,33.87,Swipe Transaction,89069,Katonah,NY,10536,5251
7656723,40225.29653,249,5134,40.92,Swipe Transaction,67706,Rialto,CA,92376,5912
8498344,40432.18194,1211,5392,23.91,Swipe Transaction,58205,Memphis,TN,38134,5912
8665498,40472.33056,1314,1081,5.79,Swipe Transaction,17493,New Braunfels,TX,78130,5812
8301581,40384.60278,1300,156,20.15,Swipe Transaction,33818,Fort Polk,LA,71459,5310
8318502,40388.64236,1340,3272,30.04,Online Transaction,9932,ONLINE,ONLINE,,5311
7613197,40214.36667,866,3337,89,Swipe Transaction,61195,Pittsburgh,PA,15204,5541
8610478,40458.82361,1888,1017,88.87,Swipe Transaction,59935,Salisbury,MD,21801,5499
7510486,40188.25347,994,5367,9.43,Swipe Transaction,22204,Lakewood,NJ,8701,5541
8391683,40406.44722,1020,1224,22.6,Swipe Transaction,92289,Schaumburg,IL,60194,5411
7588578,40208.08472,212,4145,2.04,Swipe Transaction,59935,Dallas,TX,75227,5499
7614824,40214.62708,989,2511,16.09,Swipe Transaction,36072,Chantilly,VA,20152,5310
7933181,40294.43819,17,4962,46.11,Swipe Transaction,13523,Hickory,NC,28602,5310
7721387,40241.39306,300,3814,0.21,Swipe Transaction,65336,Monroe,CT,6468,5411
7627017,40217.63542,490,5963,18.67,Swipe Transaction,73973,San Antonio,TX,78230,7230
8606924,40458.26875,497,3855,48.34,Swipe Transaction,54850,Sioux Falls,SD,57110,4814
8596794,40455.6375,1789,5130,52.49,Swipe Transaction,46213,Ferdinand,IN,47532,7538
7563915,40201.76944,282,4229,29.97,Swipe Transaction,13646,San Antonio,TX,78222,7538
8003761,40311.68333,1617,157,55.38,Swipe Transaction,76895,Columbia,MD,21044,5813
7703653,40236.92778,1217,5030,46.42,Swipe Transaction,871,Phoenix,AZ,85032,7538
7905222,40287.48125,826,69,158.13,Swipe Transaction,56701,Dacula,GA,30019,8043
8320535,40389.35208,280,1062,18,Swipe Transaction,26810,Richmond,CA,94804,5541
8653113,40469.38681,32,3475,42.43,Swipe Transaction,32175,Greensburg,PA,15601,7538
8000869,40311.24792,1456,2211,39.46,Swipe Transaction,20519,Picayune,MS,39466,5942
7632034,40218.82847,1130,92,124.05,Swipe Transaction,99370,Federal Way,WA,98003,5311
8168284,40352.31944,1696,2408,106.29,Swipe Transaction,59935,Merritt Island,FL,32953,5499
7962109,40301.59375,1686,2999,24.16,Swipe Transaction,75936,Peoria,AZ,85345,5814
8369498,40400.92153,820,3311,32.25,Swipe Transaction,68182,Barnstable,MA,2630,5411
8512567,40435.48472,1946,3679,36.81,Swipe Transaction,61195,Cleveland,OH,44134,5541
8228726,40366.81181,200,2875,7.62,Swipe Transaction,22204,Scott Depot,WV,25560,5541
7505048,40186.60764,280,5856,68.28,Swipe Transaction,43293,Richmond,CA,94804,5499
7543750,40196.55556,1837,259,45.53,Swipe Transaction,56259,Los Angeles,CA,90001,5300
8691323,40478.49931,1818,3418,81.23,Swipe Transaction,68751,Virginia Beach,VA,23462,5651
8288595,40381.48403,1,3682,14.9,Swipe Transaction,17708,Pensacola,FL,32504,4121
8719878,40485.40625,386,3673,40.14,Swipe Transaction,46474,Worcester,MA,1602,7538
8685471,40477.26458,78,5910,7.11,Swipe Transaction,72698,Los Angeles,CA,90044,5912
7903550,40287.07917,655,4134,49.9,Swipe Transaction,75936,Lorain,OH,44052,5814
8630329,40463.65764,1451,3790,45.38,Swipe Transaction,34490,Edgartown,MA,2539,5719
8421946,40413.57778,1640,4967,38.98,Swipe Transaction,60569,Holland,MI,49423,5300
7868417,40278.37222,1391,4107,12.15,Swipe Transaction,35141,Rego Park,NY,11374,5411
7956992,40300.45069,112,1134,-88,Swipe Transaction,61195,La Fargeville,NY,13656,5541
8034748,40319.47292,34,1166,39,Online Transaction,81759,ONLINE,ONLINE,,7349
7635447,40219.6625,1070,4138,17.43,Swipe Transaction,20561,Marion,IA,52302,5912
7959150,40300.82778,1504,5373,70.06,Swipe Transaction,81833,Lubbock,TX,79403,5912
7710548,40238.62986,379,2019,40.86,Swipe Transaction,17540,Mobile,AL,36693,5912
8620426,40461.46389,1238,1195,164.66,Swipe Transaction,60569,Alexandria,VA,22309,5300
8724647,40486.47014,859,233,23.35,Online Transaction,39021,ONLINE,ONLINE,,4784
8112790,40338.59375,511,4707,80,Swipe Transaction,27092,Tucson,AZ,85719,4829
7763044,40251.83611,170,5985,45.36,Swipe Transaction,64812,Purcell,OK,73080,7538
7528348,40192.54444,996,4661,13.55,Online Transaction,17976,ONLINE,ONLINE,,4900
8276567,40378.59792,1717,2652,40,Swipe Transaction,27092,Buffalo,NY,14219,4829
8443697,40418.83889,1463,5499,33.2,Swipe Transaction,33027,Saugerties,NY,12477,7832
8051463,40323.55972,1253,2248,10.37,Swipe Transaction,92676,Beacon Falls,CT,6403,5812
7720191,40241.03125,1535,3461,89.83,Swipe Transaction,61195,Lucasville,OH,45648,5541
7621928,40216.50833,50,5471,61.05,Swipe Transaction,22204,Iron Mountain,MI,49801,5541
7691180,40233.66597,1330,2189,33.62,Online Transaction,15143,ONLINE,ONLINE,,4784
7780163,40256.29236,1737,1096,8.63,Swipe Transaction,54543,Eastpointe,MI,48021,5921
8158376,40349.70486,580,2961,1.99,Swipe Transaction,50867,Celina,OH,45822,5541
7710049,40238.55486,1484,2527,75,Swipe Transaction,61195,Tucson,AZ,85750,5541
8593884,40455.00694,641,5151,93.23,Swipe Transaction,60569,Columbus,OH,43235,5300
8504745,40433.5875,1236,85,23.52,Swipe Transaction,59935,Colorado Springs,CO,80915,5499
7556721,40199.72986,1923,2152,42.47,Swipe Transaction,83112,Clever,MO,65631,7230
8442713,40418.63264,40,3648,10.12,Swipe Transaction,75270,Springfield,OH,45506,7210
7569068,40203.28056,1177,3030,4.81,Swipe Transaction,15960,Newark,DE,19711,5411
8507820,40434.41806,205,2861,33.15,Swipe Transaction,75781,Great Falls,MT,59404,5411
7747142,40247.70556,1967,3367,14.22,Swipe Transaction,60569,Newport Beach,CA,92658,5300
7796192,40260.32222,711,4689,1.64,Swipe Transaction,25887,Staunton,IL,62088,5814
8256822,40373.68542,1896,4974,80,Swipe Transaction,27092,Monroe,MI,48162,4829
8552477,40444.86181,1458,117,81.02,Swipe Transaction,20561,New Orleans,LA,70119,5912
8717370,40484.65278,1302,5632,15.07,Swipe Transaction,50783,Jonesville,NC,28642,5411
8022904,40316.53403,1696,2408,107.81,Swipe Transaction,61195,Merritt Island,FL,32952,5541
8070189,40328.40347,1972,5539,6.26,Swipe Transaction,1238,Fayetteville,AR,72703,7393
8286871,40381.16389,692,3332,2.4,Swipe Transaction,75781,Eastpointe,MI,48021,5411
8237386,40369.12083,1030,3828,4.97,Swipe Transaction,82981,Vancouver,WA,98684,5912
8502658,40433.30069,236,4560,4.52,Swipe Transaction,20519,Garwood,TX,77442,5942
7979984,40306.01389,1955,4220,86.79,Swipe Transaction,635,Canton,NC,28716,5912
7585485,40207.33542,1549,146,37.45,Online Transaction,41122,ONLINE,ONLINE,,4784
8693827,40479.25347,655,4134,34.19,Swipe Transaction,5541,Haymarket,VA,20169,5310
8608030,40458.42847,386,3673,56.64,Swipe Transaction,32175,Worcester,MA,1603,7538
8069657,40328.325,383,3686,3.84,Swipe Transaction,49789,Oakdale,LA,71463,5541
7561363,40201.29167,1046,3259,52,Swipe Transaction,59935,Philadelphia,PA,19146,5499
7956874,40300.43125,1510,1257,62.8,Swipe Transaction,20519,La Mirada,CA,90638,5942
8316372,40388.34306,1107,3698,59.53,Swipe Transaction,26909,Johnson City,NY,13790,5211
7843220,40271.95625,1384,2535,51.05,Swipe Transaction,75936,Belleville,IL,62226,5814
7698822,40235.63889,1694,5944,50.38,Swipe Transaction,91128,Stamford,CT,6922,5411
7592867,40209.32361,1817,2530,96.35,Swipe Transaction,61195,Pearland,TX,77584,5541
8004201,40311.79097,779,2069,312,Swipe Transaction,57133,Waianae,HI,96792,3730
8375387,40402.43958,173,3916,-59,Swipe Transaction,59935,Abilene,TX,79605,5499
8387102,40405.41181,845,2055,1.97,Swipe Transaction,22258,Fort Walton Beach,FL,32547,5411
7622492,40216.59167,1787,4645,58.78,Online Transaction,39021,ONLINE,ONLINE,,4784
7993504,40309.40972,1985,2834,2.31,Swipe Transaction,50783,Alpharetta,GA,30022,5411
8671122,40473.59028,213,2136,60.03,Swipe Transaction,30220,Nashville,AR,71852,5411
7798487,40260.6625,323,4268,80,Swipe Transaction,27092,Fresno,CA,93726,4829
8064525,40326.75694,1515,3320,27.7,Swipe Transaction,32606,Lewistown,PA,17044,7832
8339533,40393.70417,356,3251,40.86,Swipe Transaction,20519,Childersburg,AL,35044,5942
8280112,40379.50069,644,2657,7.16,Swipe Transaction,77770,Philadelphia,PA,19132,5812
7770421,40253.63958,875,193,32.74,Swipe Transaction,34490,Vernon,AL,35592,5719
8623128,40462.15694,702,4199,127.08,Swipe Transaction,6686,Huntington Station,NY,11746,5411
8482613,40428.37361,1842,5426,-89,Swipe Transaction,43293,Albuquerque,NM,87121,5499
8725962,40486.65903,1774,4516,3.27,Swipe Transaction,60340,Minneapolis,MN,55421,4900
8337919,40393.46597,1081,3892,44.68,Swipe Transaction,43293,Aurora,CO,80013,5499
7731584,40243.92083,1523,4521,1.13,Online Transaction,16798,ONLINE,ONLINE,,4121
